,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
10116,8725,0,0,KM1961AKRU0,0,0,22,17236,109703,2490,3716078,11
10685,22588,1,0,nJwbKX4JulU,0,0,20,1466,10593,173,570334,14
16688,23428,0,0,W9i1epy5CzI,0,0,43,93,1005,12,92860,8
20175,9837,0,0,HB-A1_HA7wY,0,0,24,485,1845,12,53196,5
2695,4909,3,0,tX3arPBUQIE,0,0,24,1889,32293,329,1782266,4
9838,4555,1,0,b5ZULKs8Hy8,0,0,23,4414,59568,1384,1812653,3
15780,22020,1,0,ro2dmKY0yP8,0,0,20,540,2229,42,124625,21
18771,20417,1,0,M2ZQU9KpQvs,0,2,20,1535,21765,235,1055958,5
11764,9518,1,0,TfF7rIH8EMk,0,0,24,3524,19845,373,573626,11
2412,10396,1,0,A4PKhEHHiFU,0,0,20,2918,47911,1076,621335,1
21328,7504,2,0,zhXPA35DUUw,0,0,23,7796,63362,2007,1193298,6
18294,14731,0,0,rMipmqA9prQ,0,0,24,456,1448,88,358376,1
17622,13814,0,0,AQwQuqxZmmc,0,0,28,2885,31283,1151,906716,1
19902,9845,1,0,_0yfpLD_V0U,0,0,24,336,837,5,38093,4
3614,21090,4,0,8kNo7evKboc,1,0,20,1380,12068,144,383243,15
2366,12194,3,0,2rwi9Kv_z8A,2,0,20,4425,33148,512,801361,18
13002,5906,1,0,883lqm9IOn0,0,0,24,2097,75366,1207,2722444,11
3211,4181,0,0,itw8njkk5vQ,0,0,20,4581,19771,273,1251630,11
12990,21769,1,0,pp6ZCPN9sPk,0,0,20,482,3018,68,247157,15
7453,9164,1,0,oQCHJWfRdiY,0,0,24,1484,20523,279,370282,7
8498,8067,1,0,by-lnhwVxnk,0,0,26,7075,13952,757,2747551,4
3662,20950,2,0,PwxzC1Qgp-0,0,0,20,1362,15184,232,1087741,17
5513,10435,1,0,Hq0XkghGEF0,0,0,20,6312,60976,1836,1221122,36
10682,10117,2,0,Yeh9X4lpUm0,0,0,24,84086,607063,7138,21637537,5
344,14862,1,0,N4NZmnU2uIw,0,0,24,1264,8111,1341,6083934,7
9661,15656,0,0,o3tv0U_M_S4,0,0,22,6369,16797,181,544197,10
18282,411,3,0,0ZL93eeZSUU,1,0,24,293,16938,989,611859,3
16773,11893,1,0,Lq-hO0gGUjw,1,0,24,2118,36793,489,601884,30
19224,20957,1,0,_6Sm1a_5c98,0,0,20,505,8458,129,422616,23
21514,13451,0,0,tAaIRh3UK5w,0,0,20,754,7758,121,389242,36
2024,2124,0,0,oDp4baf39Uo,0,0,20,8751,120941,1297,3408318,21
19705,2250,0,0,wKLm4Dmd5WU,0,0,20,9,210322,2565,5225243,6
12419,20454,4,0,80XbTH78C6o,2,0,20,1506,29556,435,510142,20
14899,4584,0,0,MRAgSiCd2bQ,0,0,23,132,3267,34,149311,3
8558,15983,0,0,eY70g3hXJ5Q,0,0,22,1654,4939,236,731028,14
355,7013,1,0,y-h-EfaShoE,0,0,26,22386,40507,1374,3695057,3
1302,21623,1,0,-7HASV_wBmQ,0,0,20,642,3320,35,103915,15
7719,16344,0,0,5Dn0vTH9FVg,0,0,22,928,2237,111,256965,12
6349,11794,2,0,O6ZApgerips,1,0,24,3228,37509,1337,1629344,29
15652,3987,0,0,400QGTbabTE,0,0,20,2383,12850,157,458924,12
21853,4112,0,0,euOyDDjmVuE,0,0,20,2998,16161,142,765676,12
17782,17586,0,0,omuTBGuH_YM,0,0,22,53,711,204,1250199,1
11688,536,0,0,wCYVYzuwf9o,0,0,24,1672,15860,198,784623,4
