,Unnamed: 0,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration,predicted_value
2005,1441,5,0,ZAqt-R0nJjQ,1,1,23,29947,293259,4969,22022628,2,3773165.0
20842,5080,0,0,HO9s21ZdTUE,0,0,43,13599,87076,7901,11880465,6,2978522.0
6957,8859,0,0,l6N-eYcpyl8,0,0,22,1512,26072,177,320071,9,3075002.0
14369,2565,0,0,wzaQduFJJ1g,0,0,20,0,257089,1947,5661080,5,3450528.0
13869,12702,0,0,v7u0iNeuB7M,1,0,20,1309,10620,302,223415,19,2564296.0
20970,7198,1,0,VeIffP1yxOg,0,0,23,1751,24440,466,443422,58,-1057291.0
5396,922,1,0,nC7R0tKpsNg,0,0,24,158,2622,66,185559,2,3712722.0
4944,4618,2,0,84h0f66kIwM,0,0,23,6379,86734,2462,3198231,4,3631549.0
18556,8230,1,0,VXraj6elyNM,0,0,22,3779,95068,528,1140686,2,3746333.0
12854,10422,1,0,eFk02HDfrCg,0,0,20,2792,44933,602,865690,15,2668718.0
7850,7225,2,0,pNC0NetWFNc,0,0,23,10834,184888,1244,2638042,3,3717028.0
12821,5342,1,0,5VzprYCxPBQ,0,0,10,18483,340271,3468,21872577,4,3777042.0
419,20983,1,0,_ShhFdAfrMw,0,0,20,610,8656,114,475576,14,2754197.0
3041,10997,1,0,aHD5HflWdZA,1,0,24,5089,44400,578,475770,29,1715264.0
3582,9131,1,0,nniLbA0v1TE,0,0,24,1528,16972,121,278185,9,3114370.0
9093,3104,1,0,SgaflpsDGtw,0,0,24,44497,458127,5742,17267833,6,3370806.0
2996,3013,1,0,HiNly5_4V7o,0,0,20,14556,149975,1360,4708590,21,2155845.0
12898,6438,0,0,8mHA0viaYUo,0,0,20,2510,12594,205,743318,5,3450528.0
8238,6110,0,0,ZLIl1Dm4Osc,0,0,24,3183,42527,3915,822314,34,904418.0
15473,2325,0,0,2KvcNKwjwZg,0,0,20,31,294244,5131,7446440,9,3108613.0
6640,13503,2,0,n4fUG8ClawM,0,0,20,485,2798,80,250665,17,2570740.0
8063,11964,2,0,av86IarLhPI,0,0,24,4908,71851,1565,4256294,32,1221334.0
6297,9974,0,0,5xqKJCd8hFw,0,0,19,172,1506,18,35292,2,3723771.0
133,8866,1,0,xHX_CNnziRM,0,0,22,2758,36432,281,503713,10,3062502.0
12284,3804,1,0,daOijFStfLA,0,0,20,11177,57703,771,2652283,24,1899408.0
9655,4982,3,0,Yl-MggMwC6E,0,0,24,1943,39876,818,2674198,5,3602244.0
6061,13989,0,0,Ciuc0UBDkIk,0,0,28,1440,26746,730,1508320,1,3658000.0
8563,2890,1,0,tN4Y2IhfZKE,0,0,20,12012,148466,1091,4633707,7,3352550.0
15057,1899,0,0,AkdZiERMjjI,1,0,20,706,21686,418,573890,1,4102917.0
4373,12393,3,0,ADnHrrDcxyk,0,0,20,1459,13741,473,321127,14,2900156.0
10381,23383,1,0,ozmBDlQ9Xe0,0,0,43,256,1701,53,150982,12,2538628.0
5159,15228,0,0,cEunuoOFNxs,0,0,17,363,2475,139,708666,0,3928340.0
16891,11880,1,0,usVWbkmeZMA,0,0,24,916,24896,671,1147346,16,2516017.0
2850,23730,0,0,CVC3wOBK4KM,0,2,20,507,1701,62,121251,14,1563714.0
13757,4306,0,0,dHSADPHrVCI,0,0,24,879,6974,39,238083,13,2699475.0
8284,22299,2,0,6BkUvixVkWI,0,0,20,771,9483,109,731619,14,2827176.0
14743,6289,1,0,uhZf_tRv5Wo,0,0,20,18538,160837,12216,11493883,2,3779944.0
3341,8504,1,0,-0trSeWNn0s,0,0,24,571,2931,120,114513,1,3798201.0
6576,17317,0,0,MOvKZQ72eYg,0,0,22,229,2474,1158,5651239,3,3587875.0
2529,19968,4,0,viT6rRcMSl4,0,0,20,1730,17719,172,580352,22,2289303.0
5162,12685,1,0,2Je7ChLsdaQ,1,0,20,5186,28746,607,1111962,35,1269613.0
1840,17490,0,0,-ICw47_Xsf8,0,0,22,173,1366,450,2108585,3,3587875.0
862,5217,1,0,olg_PS87fDA,0,0,43,19702,95877,3026,13187209,3,3307938.0
9782,22752,9,0,EZInN2tl7XA,1,0,43,267,1733,30,103408,22,2578144.0
6715,1631,0,0,H0g3Z77synI,0,0,20,46293,305307,5376,5240049,8,3194092.0
7232,12910,0,0,1g0FAlqP8dw,0,0,20,2962,14359,228,426044,28,1484513.0
10542,10865,1,0,Y1BVj6J4bjg,2,0,24,4200,85284,1154,1627170,30,1940258.0
8711,20465,1,0,tJUo4Xe3Hao,0,2,20,864,13227,113,732845,12,1807651.0
18175,6856,2,0,yur1OmPly3k,0,0,26,5470,111962,1782,4858650,12,2897301.0
16302,7909,1,0,0ZCQ40Bodb0,0,0,26,15927,93647,2218,14119129,6,3337195.0
7996,1364,0,0,iOopyBvz3Ec,0,2,23,4317,61397,779,2539582,7,2111650.0
12903,7259,4,0,4JeKl5E7jbQ,0,0,23,6297,133594,680,2423609,3,3862986.0
4060,7435,2,0,KAJvUXkIBeo,0,0,23,7554,266187,1443,4978079,4,3631549.0
13165,16205,0,0,_nraCAJw-QY,0,0,22,1416,1879,57,177729,13,2733086.0
13787,9043,0,0,QE1WAwvZouU,0,0,22,1090,11254,86,226381,8,3160481.0
18984,6840,2,0,J6y7nO1rzE4,0,0,26,1607,33976,673,795278,7,3324696.0
5062,4817,0,0,1HUd8ZhOzag,0,0,24,7025,105350,1958,6110348,5,3383306.0
9164,23068,0,0,aUN_Om4qwnc,0,0,43,119,1031,11,55269,14,2294691.0
15469,21524,1,0,9XYJq1ockGw,0,0,20,1690,11893,117,367276,18,2412282.0
807,7794,2,0,064ocJc7RvE,0,0,26,18108,57316,521,2039397,8,3239217.0
764,594,2,0,OXq0S9nziQU,0,0,24,1722,50185,691,3546288,9,3187349.0
18101,19630,4,0,ikNmhYD2cN8,0,2,20,346,3871,33,119869,52,-1392568.0
519,5154,1,0,ydQo_KGixBw,0,0,43,18130,146284,4410,17285115,2,3393417.0
16654,20881,1,0,97OPGVqqNgY,0,0,20,4926,38298,443,1064703,24,1899408.0
9958,12661,1,0,1-7y9jkRaBk,0,0,20,6155,51927,906,2188155,37,788182.0
4069,2148,1,0,nc5Juxyh8pQ,0,0,20,22013,278547,2249,4817890,10,3096113.0
940,20242,3,0,CWVfpM2FCgc,0,0,20,542,8617,67,312276,16,2729198.0
16653,21278,5,0,D_zh0jcoCvc,0,0,20,2220,15229,371,1708673,14,3046114.0
6830,21844,4,0,LxYYgkvgxnM,0,0,20,1627,8965,141,651328,11,3229571.0
20895,13344,0,0,dGnIPnQ1TbM,0,0,20,1371,4440,165,289515,31,1228077.0
905,7772,2,0,HzOXxSgKTF4,0,0,26,9973,60356,816,4118479,8,3239217.0
17865,7758,1,0,Qi6WUCTdjY4,0,0,26,9262,75736,847,3143650,6,3337195.0
19963,9754,0,0,Vpsc_IHc-Xc,0,0,24,999,3760,41,165173,9,3041391.0
19473,13000,1,0,vYKRiHsjFDg,0,0,20,5849,21205,534,900258,58,-1006875.0
931,1042,0,0,fUBiguQNDkM,0,0,24,223,1932,54,194063,3,3554264.0
13748,5213,2,0,aWiOc-kLlUU,0,0,43,6672,53933,5164,7358772,1,3551875.0
10060,13419,1,0,DnWORimRwc4,0,0,20,2036,7654,183,683961,30,1386535.0
3559,11336,1,0,h9Z5azZJDrs,0,0,24,4345,68616,1538,1761377,28,1490270.0
6195,9817,1,0,HS-IJf5mTkA,0,0,24,615,3636,68,238698,4,3541764.0
18729,9505,1,0,j1a9zZoXd9o,0,0,24,1719,13539,140,275380,6,3370806.0
21781,3135,1,0,4k-LxaUUyzc,0,0,20,8,84565,874,2516814,14,2754197.0
10966,2385,0,0,2n0RMSmViz0,0,0,20,26,239985,3263,5906170,6,3365049.0
20496,5164,0,0,6T1uo2UytjQ,0,0,43,8106,58400,2443,9627855,3,3234959.0
3984,7571,1,0,CokJKf0MJo4,0,0,23,1626,18759,251,540932,7,3302133.0
11303,4683,2,0,kAKjBTVhhUA,0,0,23,6693,84866,1655,3058167,2,3802507.0
6027,3703,4,0,c7rT4M5wXt8,0,0,20,3072,22123,204,621495,22,2289303.0
17518,23083,0,0,dVwiGkHINi4,0,2,43,453,3726,44,153798,12,1348145.0
20317,8495,1,0,tTURUvBqO5I,0,0,24,1038,4302,50,113280,3,3627243.0
20827,11256,1,0,bNSvFDjEQuw,0,0,24,8193,51974,964,1531763,33,1062876.0
12179,5786,0,0,Bq3jJRz2Fik,0,0,20,5756,95748,1689,2480403,3,3621486.0
2652,17071,0,0,NmBBTa0Dzl4,0,0,22,393,2361,722,3206725,6,3331438.0
17978,15113,2,0,Vzv40VWL5ho,0,0,17,15060,209772,4213,27293248,6,3561424.0
231,6435,0,0,5QAwzCPbRNQ,0,0,20,2297,8748,163,628777,4,3536007.0
7647,17218,0,0,qiXbBG6rDW8,0,0,22,121,1626,205,2357002,1,3758833.0
5588,9587,0,0,-CIPQ5fX2Yo,0,0,24,9186,67481,2553,5784651,14,2613996.0
11799,2138,0,0,wfmjPOUbe-k,0,0,20,1879,79715,1594,2061185,6,3365049.0
