,descriptioncount,descriptionsentiment,videoId,tagcount,tagsentiment,categoryId,commentCount,likeCount,dislikeCount,viewCount,duration
11485,1,0,v9hEFOR0fe4,1,0,24,1977,49395,748,1063963,20
11486,1,0,hcNDZ1LjnqY,0,0,24,2910,80015,1375,3480658,32
11487,1,0,bc9Zr70Vbmg,1,0,24,1569,36562,4073,771051,34
11488,1,0,meG1zmQ-sHc,2,0,24,3567,47866,1472,1826103,33
11489,1,0,snLDgFxwo0Y,0,0,24,4325,86605,1270,2208708,32
11490,1,0,_ueVXutKeQw,1,0,24,1568,72676,1032,1064026,27
11491,1,0,V7igXopE5RE,0,0,24,5445,106830,1857,2544128,38
11492,1,0,JyFFB6i5v6g,0,0,24,2724,73431,1227,2417416,30
11493,1,0,l60sTX9QUYg,0,0,24,2574,52844,1243,1559652,31
11494,1,0,yJLXYHJwF8A,0,0,24,5809,92647,1953,2600901,20
11495,2,0,lK3v18N_J1o,1,0,24,2415,52773,894,1243316,22
11496,1,0,weRVpmTOnzo,0,0,24,1616,50694,736,1351240,15
11497,1,0,oh5Tu_rM7Rg,0,0,24,2130,60600,964,1615316,24
11498,1,0,c6g8DCVybis,3,0,24,2655,59501,2473,4011525,35
11499,1,0,Qo8NeYzWtLg,1,0,24,2630,93562,1742,1496098,28
11500,1,0,b540xmxoWoE,0,0,24,4378,90464,1848,4017963,32
11501,1,0,JaznFmZefqg,0,0,24,1182,50479,839,1050696,12
11502,1,0,o6oiBxgJIfw,1,0,24,3549,113279,1880,1699833,26
11503,1,0,zytIK0kY2YE,1,0,24,7731,149134,2994,3035598,33
11504,1,0,8x2YfU1AFt8,1,0,24,4924,83382,3056,5831752,25
11505,1,0,0-dtiXQ-jks,0,0,24,8084,93293,1243,2155709,32
11506,1,0,vSJuAk-ssu0,0,0,24,1303,38121,1208,987430,32
11507,1,0,uD8n8KMPqWY,0,0,24,16466,186307,2407,3346315,30
11508,1,0,cvJqyb-55pc,0,0,24,2319,15737,1338,321570,31
11509,1,0,ZivxLIRb9EE,0,0,24,2387,57885,1050,1346887,16
11510,2,0,rMAAzddyrjo,0,2,24,3666,101803,3099,6401381,13
11511,1,0,B97E_vfs_-o,3,0,24,2541,46405,1068,955606,24
11512,2,0,vWy6DafUy94,2,0,24,1770,38713,926,804831,31
11513,1,0,KLEnAncKEtg,0,0,24,4420,88976,1766,2358680,37
11514,1,0,j-2516jQWIY,0,0,24,3109,60704,1246,2180297,36
11515,1,0,LTDA4TT7SIw,0,0,24,2026,60183,1492,1666354,26
11516,1,0,eVqPqIaLMD0,0,0,24,6407,95985,1792,2513033,43
11517,2,0,WaQJC0fBZXY,1,0,24,2118,50829,1266,1087091,16
11518,1,0,HTvK1x6yrHM,0,0,24,2864,75685,1292,2313159,33
11519,2,0,3zsZCO-XuLQ,0,0,24,3521,53584,1719,1846951,41
11520,1,0,kn_pv02npO0,1,0,24,3447,61994,1319,1489200,23
11521,2,0,-SXLB5NGwvQ,3,0,24,2793,65243,1226,1044750,28
11522,1,0,t4Zq5Cdxbvk,1,0,24,3663,94350,3532,7987548,27
11523,1,0,IDq6oAds0hc,0,0,24,2762,61181,1452,2430867,23
